id,created_at,query,weather_location,temperatureC,humidityPercent,heatIndexC,heatLevel,summary,actions,safetyTips,confidenceScore,source
8ffe38da-6306-4b97-ba4e-4731a015b4fe,2026-03-24T17:43:49.599Z,"What should teachers do today?","Mayamot Elementary School",34.2,71,48,danger,"Current heat index is 48°C (danger). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",,"fallback"
1f0f85ca-80f0-4ef1-88b5-b836dd838e59,2026-03-24T19:39:24.650Z,"Give heat safety actions for students","Mayamot Elementary School",34.2,71,48,danger,"Current heat index is 48°C (danger). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",,"fallback"
2667793b-296b-4ad8-9550-12e9c1c6bdf5,2026-03-24T19:55:42.313Z,"Generate advisory based on current heat","Valenzuela",25.3,73,26.4,safe,"Current heat index is 26.4°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"fallback"
3542d618-d58f-46a0-a11d-debb11839de6,2026-03-24T19:59:03.456Z,"Explain heat index risk levels","Valenzuela",24.7,76,25.5,safe,"Current heat index is 25.5°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"fallback"
77da33e2-36a6-498c-8d4a-5821af3b0c22,2026-03-24T19:59:04.284Z,"Generate advisory based on current heat","Valenzuela",24.7,76,25.5,safe,"Current heat index is 25.5°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"fallback"
f2174f96-ea25-4f58-9be4-1a4e7211e708,2026-03-24T19:59:27.881Z,"yes or no?","Valenzuela",24.7,76,25.5,safe,"Current heat index is 25.5°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"fallback"
7727dd7d-c177-49db-b4aa-51b1fd55d4c9,2026-03-24T19:59:37.676Z,"huh?","Valenzuela",24.7,76,25.5,safe,"Current heat index is 25.5°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"fallback"
26e070e4-e3aa-46d9-b100-08cba3a5563c,2026-03-24T20:03:29.142Z,"What should my child bring for today due to heat?","Valenzuela",24.7,76,25.5,safe,"Current heat index is 25.5°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"fallback"
1eb697ad-2748-4f33-9f0c-80bf6b445d8b,2026-03-24T20:03:33.663Z,"Is outdoor activity safe for students this afternoon?","Valenzuela",24.7,76,25.5,safe,"Current heat index is 25.5°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"fallback"
8a960598-b570-44ea-adf7-0bd3c12da045,2026-03-24T20:04:01.162Z,"is there any class suspension if ever na tumaas pa yung heat index?","Valenzuela",24.7,76,25.5,safe,"Current heat index is 25.5°C (safe). Prioritize hydration, shade, and reduced outdoor exposure.","Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response.",0.86,"fallback"
77296c59-0f82-41b2-9c94-d312bb814a5c,2026-03-24T20:05:23.800Z,"is there any class suspension if ever tataas pa yung heat index?","Valenzuela",24.7,76,25.5,safe,"Current heat index is 25.5°C (safe). Prioritize hydration, shade, and reduced outdoor exposure. Safe level: class suspension is not recommended at this time based on current heat conditions.","Class suspension guidance: Safe level: class suspension is not recommended at this time based on current heat conditions. | Review current heat index and postpone high-exertion outdoor activity if needed. | Ensure drinking water access in classrooms and activity areas. | Monitor students for early heat stress signs and escalate to clinic when needed.","Encourage frequent hydration every 15 to 20 minutes during hot periods. | Use shaded or indoor alternatives for PE and assemblies when risk is elevated. | Coordinate with class advisers for at-risk students and immediate cooling response. | Stand by for official announcements through school communication channels.",0.86,"fallback"
