"Mayamot Elementary School"
"Overall Reports - Generated on sep 14, 2026 4:52am"

Overview
"Metric","Value"
"Active Advisories","108"
"Heat Incidents","0"
"Active Users","10"
"Report Rows","108"

Advisories
"Heat Level","Summary","Date Issued"
"caution","Outdoor safety depends on current heat level (caution) at 28°C heat index. Avoid peak heat exposure. - Confirm any school-wide activity or schedule change through policy and current heat data. - Coordinate the notice with teachers, parents, and the school clinic. - Coordinate with teachers for modified activity plans. This is safety guidance, while final activity decisions are made by school authorities.","sep 14, 2026 4:47am"
"caution","Outdoor safety depends on current heat level (caution) at 28°C heat index. Keep hydration in mind today. - Confirm any school-wide activity or schedule change through policy and current heat data. - Coordinate the notice with teachers, parents, and the school clinic. - Reduce high-exertion activity during peak heat periods. This is safety guidance, while final activity decisions are made by school authorities.","sep 14, 2026 4:37am"
"caution","Outdoor safety depends on current heat level (caution) at 28°C heat index. Keep hydration in mind today. - Confirm any school-wide activity or schedule change through policy and current heat data. - Coordinate the notice with teachers, parents, and the school clinic. - Reduce high-exertion activity during peak heat periods. This is safety guidance, while final activity decisions are made by school authorities.","sep 14, 2026 4:27am"
"caution","Current heat index is 28°C (caution). Prioritize hydration, shade, and reduced outdoor exposure. - Review current heat index and postpone high-exertion outdoor activity if needed. - Ensure drinking water access in classrooms and activity areas. - Monitor students for early heat stress signs and escalate to clinic when needed. Only system-provided weather, humidity, and heat-index inputs are used.","sep 14, 2026 4:17am"
"caution","Current heat index is 28°C (caution). Prioritize hydration, shade, and reduced outdoor exposure. - Review current heat index and postpone high-exertion outdoor activity if needed. - Ensure drinking water access in classrooms and activity areas. - Monitor students for early heat stress signs and escalate to clinic when needed. Only system-provided weather, humidity, and heat-index inputs are used.","sep 14, 2026 4:07am"
"caution","Current heat index is 28°C (caution). Prioritize hydration, shade, and reduced outdoor exposure. - Review current heat index and postpone high-exertion outdoor activity if needed. - Ensure drinking water access in classrooms and activity areas. - Monitor students for early heat stress signs and escalate to clinic when needed. Only system-provided weather, humidity, and heat-index inputs are used.","sep 14, 2026 3:57am"
"caution","Outdoor safety depends on current heat level (caution) at 28°C heat index. Avoid peak heat exposure. - Adjust PE, recess, and outdoor tasks to the current heat level. - Record student symptoms and refer concerning cases to the clinic promptly. - Coordinate with teachers for modified activity plans. This is safety guidance, while final activity decisions are made by school authorities.","sep 14, 2026 3:46am"
"caution","Current heat index is 28°C (caution). Prioritize hydration, shade, and reduced outdoor exposure. - Review current heat index and postpone high-exertion outdoor activity if needed. - Ensure drinking water access in classrooms and activity areas. - Monitor students for early heat stress signs and escalate to clinic when needed. Only system-provided weather, humidity, and heat-index inputs are used.","sep 14, 2026 3:36am"

Incidents
"Student","Incident Type","Description","Action Taken","Status","Date"
"Juan Dela Cruz","heat_exhaustion","Student felt dizzy during PE; given water and rest. (demo)","Rested and hydrated","resolved","may 20, 2026 11:15pm"
"Maria Santos","heat_cramp","Student reported muscle cramps after prolonged play. (demo)","Provided electrolytes and rest","resolved","may 20, 2026 11:15pm"
"Juan Dela Cruz","heat_exhaustion","Student felt dizzy during PE; given water and rest.","Rested and hydrated","pending","may 20, 2026 8:47am"
